Index,Questions
234,Define DataNode. How does NameNode tackle DataNode failures?
235,What is the significance of Sqoop’s eval tool?
236,Can you name the default file formats for importing data using Apache Sqoop?
237,What is the difference between relational database and HBase?
238,What is the jps command used for?
239,What are the core methods of a reducer?
240,What is Apache Flume? List the components of Apache Flume
241,What are the differences between MapReduce and Pig?
242,List the configuration parameters in a MapReduce program
243,What is the default file size of an HDFS data block?
244,Why are the data blocks in HDFS so huge?
245,What is a SequenceFile in Hadoop?
246,What do you mean by WAL in HBase?
247,List the two types of metadata that are stored by the NameNode server
248,Explain the architecture of YARN and how it allocates various resources to applications?
249,What are the differences between Sqoop and Flume?
250,What is the role of a JobTracker in Hadoop?
251,"Can you name the port numbers for JobTracker, NameNode, and TaskTracker"
252,What are the components of the architecture of Hive?
253,Is it possible to import or export tables in HBase?
254,Why does Hive not store metadata in HDFS?
255,What are the significant components in the execution environment of Pig?
256,What is the command used to open a connection in HBase?
257,What is the use of RecordReader in Hadoop?
258,How does Sqoop import or export data between HDFS and RDBMS?
259,What is speculative execution in Hadoop?
260,What is Apache Oozie?
261,What happens if you try to run a Hadoop job with an output directory that is already present?
262,How can you debug Hadoop code?
263,How to configure the replication factor in HDFS?
264,How to compress a mapper output not touching reducer output?
265,What are the basic parameters of a mapper?
266,What is the difference between map-side join and reduce-side join?
267,How can you transfer data from Hive to HDFS?
268,Which companies use Hadoop?
269,Compare Solr & ElasticSearch
270,What is Apache Solr?
271,What file contains configuration for data directory?
272,What file contains definition of the field types and fields of documents?
273,What are the features of Apache Solr?
274,What is Apache Lucene?
275,What is request handler?
276,What are the advantages and disadvantages of Standard Query Parser?
277,What all information is specified in field type?
278,Explain Faceting in Solr.?
279,Define Dynamic Fields?
280,What is Field Analyzer?
281,What is the use of tokenizer?
282,What is phonetic filter?
283,What is SolrCloud?
284,What is copying field?
285,What is Highlighting?
286,Name different types of highlighters?
287,What is the use of stats.field?
288,What command is used to see how to use the bin/Solr script?
289,Which syntax is used to stop Solr?
290,Which command is used to start Solr in foreground?
291,What syntax is used to check whether Solr is currently running or not?
292,Give the syntax to start the server.
293,How to shut down Apache Solr?
294,What data is specified by Schema?
295,Name the basic Field types in Solr?
296,How to install Solr?
297,What are the important configuration files of Solr?
298,What are the most common elements in solrconfig.xml?
299,Compare Spark & Storm
300,Which components are used for stream flow of data?
301,What are the key benefits of using Storm for Real Time Processing?
302,Does Apache act as a Proxy server?
303,What is the use of Zookeeper in Storm?
304,What is ZeroMQ?
305,How many distinct layers are of Storm’s Codebase?
306,What does it mean for a message to be 
307,When do you call the cleanup method?
308,How can we kill a topology?
309,What is combinerAggregator?
310,What are the common configurations in Apache Storm?
311,Is it necessary to kill the topology while updating the running topology?
312,How Storm UI can be used in topology?
313,Why does not Apache include SSL?
314,Does Apache include any sort of database integration?
315,"While installing, why does Apache have three config files – srm.conf, access.conf and httpd.conf?"
316,How to check for the httpd.conf consistency and any errors in it?
317,Explain when to use field grouping in Storm? Is there any time-out or limit to known field values?
318,What is mod_vhost_alias?
319,Tell me Is running apache as a root is a security risk?
320,What is Multiviews?
321,Does Apache include a search engine?
322,Explain how you can streamline log files using Apache storm?
323,Mention how storm application can be beneficial in financial services?
324,Can we use Active server pages(ASP) with Apache?
325,Explain what is Toplogy_Message_Timeout_secs in Apache storm?
326,Mention the difference between Apache Kafka and Apache Storm?
327,What is ServerType directive in Apache Server?
328,In which folder are Java Application stored in Apache?
329,What is Apache Spark?
330,Explain the key features of Spark.
331,What is MapReduce?
332,Compare MapReduce with Spark.
333,Define RDD.
334,What does a Spark Engine do?
335,Define Partitions.
336,What operations does an RDD support?
337,What do you understand about Transformations in Spark?
338,Define Actions in Spark.
339,Check out this insightful video on Spark Tutorial for Beginners:
340,Define the functions of Spark Core.
341,What is RDD Lineage?
342,What is Spark Driver?
343,What is Hive on Spark?
344,Name the commonly used Spark Ecosystems.
345,Define Spark Streaming.
346,What is GraphX?
347,What does MLlib do?
348,What is Spark SQL?
349,What is a Parquet file?
350,What file systems does Apache Spark support?
351,What is Directed Acyclic Graph in Spark?
352,What are deploy modes in Apache Spark?
353,Roles of receivers in Apache Spark Streaming?
354,What is YARN?
355,List the functions of Spark SQL.
356,What are the benefits of Spark over MapReduce?
357,Is there any benefit of learning MapReduce?
358,What is a Spark Executor?
359,Name the types of Cluster Managers in Spark.
360,What do you understand by a Worker node?
361,What is PageRank?
362,Do you need to install Spark on all the nodes of the YARN cluster while running Spark on YARN?
363,Illustrate some demerits of using Spark.
364,How to create an RDD?
365,What are Spark DataFrames?
366,What are Spark Datasets?
367,Which languages can Spark be integrated with?
368,What do you mean by in-memory processing?
369,What is lazy evaluation?
370,Here is a Mapreduce Tutorial Video by Intellipaat
371,Compare MapReduce and Spark
372,What is MapReduce?
373,Illustrate a simple example of the working of MapReduce.
374,What are the main components of MapReduce Job?
375,What is Shuffling and Sorting in MapReduce?
376,What is Partitioner and its usage?
377,What is Identity Mapper and Chain Mapper?
378,What main configuration parameters are specified in MapReduce?
379,Name Job control options specified by MapReduce.
380,What is InputFormat in Hadoop?
381,What is the difference between HDFS block and InputSplit?
382,What is Text Input Format?
383,What is JobTracker?
384,Explain job scheduling through JobTracker.
385,What is SequenceFileInputFormat?
386,How to set mappers and reducers for Hadoop jobs?
387,Explain JobConf in MapReduce.
388,What is a MapReduce Combiner?
389,What is RecordReader in a Map Reduce?
390,Define Writable data types in MapReduce.
391,What is OutputCommitter?
392,What is a “map” in Hadoop?
393,What is a “reducer” in Hadoop?
394,What are the parameters of mappers and reducers?
395,What are the key differences between Pig vs MapReduce?
396,What is partitioning?
397,How to set which framework would be used to run mapreduce program?
398,What platform and Java version is required to run Hadoop?
399,Can MapReduce program be written in any language other than Java?
400,Compare HDFS & HBase
401,What is Hadoop ?
402,Check out this video on Hadoop Tutorial for Beginners:
403,Who is the provider of Hadoop?
404,What is the use of Hadoop?
405,What are the operating systems on which Hadoop works?
406,What is meant by Big Data?
407,Can you indicate Big Data examples?
408,What are major characteristics of Big Data?
409,What is the use of Big Data Analysis for an enterprise?
410,What are the characteristics of data scientists?
411,What are the basic characteristics of Hadoop?
412,Which are the major players on the web that uses Hadoop?
413,How is Hadoop different from traditional RDBMS?
414,What are the main components of Hadoop?
415,What is HDFS?
416,What are the main features of HDFS?
417,Why replication is pursued in HDFS though it may cause data redundancy?
418,Would the calculations made on one node be replicated to others in HDFS?
419,What is meant by streaming access?
420,What is meant by ‘commodity hardware’? Can Hadoop work on them?
421,Which one is the master node in HDFS? Can it be commodity?
422,What is meant by Data node?
423,What is daemon?
424,What is the function of ‘job tracker’?
425,What is the role played by task trackers?
426,What is meant by heartbeat in HDFS?
427,Is it necessary that Name node and job tracker should be on the same host?
428,What is meant by ‘block’ in HDFS?
429,Can blocks be broken down by HDFS if a machine does not have the capacity to copy as many blocks as the user wants?
430,What is the process of indexing in HDFS?
431,How a data node is identified as saturated?
432,What type of data is processed by Hadoop?
433,How Name node determines which data node to write on?
434,Who is the ‘user’ in HDFS?
435,How the client communicates with Name node and Data node in HDFS?
436,What is a rack in HDFS?
437,Compare Kafka and Flume.
438,What are the elements of Kafka?
439,What role does ZooKeeper play in a cluster of Kafka?
440,What is Kafka?
441,Why do you think the replications to be dangerous in Kafka?
442,What major role does a Kafka Producer API play?
443,Distinguish between Kafka and Flume?
444,Describe partitioning key.
445,"Inside the manufacturer, when does the QueueFullException emerge?"
446,Can Kafka be utilized without ZooKeeper?
447,Elaborate the architecture of Kafka.
448,How to start a Kafka server?
449,What are consumers or users?
450,Describe an Offset.
451,What do you know about a partition key?
452,Why is Kafka technology significant to use?
453,Compare Couchbase and MongoDB
454,Is Couchbase an open sourse software?
455,What is Couchbase Server?
456,What are the basic features of the Couchbase server?
457,Distinguish between CouchDB and Couchbase server.
458,How many functional blocks have involved in Couchbase server and brief about them?
459,What is vBucket?
460,What are the 4 subsystems which function on every node?
461,What vBucket Map represents?
462,What are the TCP ports used to listen to the requests?
463,What is the importance of creating a Data Bucket?
464,Compare Pig and Hive.
465,"Does Pig differ from MapReduce? If yes, how?"
466,Explain the uses of Map Reduce in Pig.
467,Explain the uses of PIG.
468,Name the scalar data type and complex data types in Pig.
469,"State the usage of ‘filters’, ‘group’ , ‘orderBy’, ‘distinct’ keywords in pig scripts."
470,Explain the LOAD keyword in Pig script.
471,What are the relation operations in Pig? Explain any two with examples.
472,Does Pig support multi-line commands?
473,Explain different execution modes available in Pig.
474,What are the exception handling operators in Pig script?
475,Differentiate between the physical plan and logical plan in Pig script.
476,Is Pig script case sensitive?
477,Highlight the difference between group and Cogroup operators in Pig.
478,What is the function of UNION and SPLIT operators? Give examples.
479,How can we see only top 15 records from the student.txt out of 100 records in the HDFS directory?
480,What is the use of BloomMapFile?
481,How does the Pig platform handle relational systems data?
482,What are the drawbacks of Pig?
483,Mention the common features in Pig and Hive.
484,Differentiate between Pig Latin and Pig Engine.
485,Explain the terms in the below syntax.EXPLAIN [-script pigscript] [-out path] [-brief] [-dot] [-paramparam_name = param_value] [-param_filefile_name] alias;
486,What are all stats classes in the org.apache.pig.tools.pigstats package?
487,Watch this video on Hadoop Training for Beginners:
488,Differentiate between Pig and Hive.
489,How to skip header rows from a table in Hive?
490,What is a Hive variable? What do we use it for?
491,Explain the process to access subdirectories recursively in Hive queries.
492,"Can we change the settings within a Hive session? If yes, how?"
493,"Is it possible to add 100 nodes when we already have 100 nodes in Hive? If yes, how?"
494,Explain the concatenation function in Hive with an example.
495,Explain the Trim and Reverse functions in Hive with examples.
496,How to change the column data type in Hive? Explain RLIKE in Hive.
497,What are the components used in Hive Query Processor?
498,What are Buckets in Hive?
499,What kind of data warehouse application is suitable for Hive? What are the types of tables in Hive?
500,What is the definition of Hive? What is the present version of Hive? Explain ACID transactions in Hive.
501,What is the maximum size of a string data type supported by Hive? Explain how Hive supports binary formats.
502,What is the precedence order of Hive configuration?
503,"If you run a select * query in Hive, why doesn't it run MapReduce?"
504,How can we improve the performance with ORC format tables in Hive?
505,Explain the functionality of ObjectInspector.
506,"Whenever we run a Hive query, a new metastore_db is created. Why?"
507,Differentiate between Hive and HBase.
508,How can we access the subdirectories recursively?
509,What are the uses of Hive Explode?
510,What is the available mechanism for connecting applications when we run Hive as a server?
511,How do we write our own custom SerDe?
512,Mention various date types supported by Hive.
513,"Can we run UNIX shell commands from Hive? Can Hive queries be executed from script files? If yes, how? Give an example."
514,Compare Sqoop and Flume
515,Name a few import control commands. How can Sqoop handle large objects?
516,How can we import data from particular row or column? What is the destination types allowed in Sqoop import command?
517,Role of JDBC driver in sqoop setup? Is the JDBC driver enough to connect the sqoop to the database?
518,Using Sqoop command how can we control the number of mappers?.
519,How will you update the rows that are already exported? Write sqoop command to show all the databases in MySQL server.
520,Define Sqoop metastore? What is the purpose of Sqoop-merge?
521,Explain the saved job process in Sqoop.
522,How Sqoop word came ? Sqoop is which type of tool and the main use of sqoop?
523,"How to enter into Mysql prompt, and explain the command parameter indicates?"
524,"I am getting connection failure exception during connecting to Mysql through Sqoop, what is the root cause and fix for this error scenario?"
525,I am getting java.lang.IllegalArgumentException: during importing tables from oracle database.what might be the root cause and fix for this error scenario?
526,How can you list all the columns of a table using Apache sqoop?
527,How to create a table in Mysql and how to insert the values into the table ?
528,What are the basic commands in Hadoop Sqoop and its uses?
529,Is sqoop same as to distcp in hadoop?
530,For each sqoop copying into HDFS how many MapReduce jobs and tasks will be submitted?
531,How can Sqoop be used in Java programs?
532,"I am having around 500 tables in a database. I want to import all the tables from the database except the tables named Table 498, Table 323, and Table 199. How can we do this without having to import the tables one by one?"
533,Explain the significance of using –split-by clause in Apache Sqoop?
534,Compare SAP BO with SAS BI.
535,Explain the SUBSTR function.
536,Define the TRANSLATE function.
537,Explain PROC SORT.
538,Describe PROC UNIVARIATE.
539,Elucidate the APPEND procedure.
540,Explain the BMDP procedure.
541,Define RUN-group Processing.
542,Describe BY-group Processing.
543,What do a CALENDAR procedure do?
544,What are the functions used for character handling in SAS?
545,What is the use of the DIVIDE function?
546,Explain the BOR function.
547,What do you mean by CALL PRXFREE Routine?
548,Explain CALL PRXCHANGE Routine.
549,Define the ANYDIGIT function.
550,What do you understand by CALL MISSING Routine?
551,What do you mean by the ALTER= Data Set option?
552,Explain the COMPRESS= Data set option.
553,Define Formats.
554,How are Variable Formats handled by PROC COMPARE?
555,What are the features of the SAS system?
556,What is the use of $BASE64X?
557,Describe the VFORMATX function.
558,Define the STD function.
559,How can a SAS program be validated?
560,What is Debugging?
561,Elucidate the FILECLOSE data set option.
562,What does ODS stand for?
563,What does CDISC stand for?
564,Which method is used to copy blocks of data?
565,What is the procedure for copying an entire library?
566,Define the max() function.
567,What is the use of the SYSRC function?
568,Explain SAS. What are the functions it performs?
569,Describe the basic structure of a SAS program.
570,What is DATA Step?
571,What is PDV?
572,"In SAS, which statement does not perform automatic conversions in comparisons?"
573,What is the difference between the NODUPKEY and NODUP options?
574,What is the use of the function PROC SUMMARY?
575,What are PROC PRINT and PROC CONTENTS used for?
576,What does PROC GLM do?
577,What is SAS Informat?
578,What does the function CATX syntax do?
579,Explain the use of PROC GPLOT.
580,How to sort in descending order?
581,What do put and the input functions do?
582,What is the difference between VAR B1 – B3 and VAR B1 -- B3?
583,What is the basic syntax style in SAS?
584,What are the special Input Delimiters?
585,What is the difference between a format and an informat?
586,Describe any one SAS function.
587,What is PDV) and what are its functions?
588,"Distinguish between SAS, Stata, and SPSS."
589,What are the uses of SAS?
590,How do we create a SAS data set with Compressed Observations?
591,How can we minimize the space requirement of a huge data set in SAS for window?
592,Compare OBIEE & Tableau
593,Explain the Architecture of OBIEE 11g and function of each components?
594,How we can extract sql from OBIEE for reports?
595,How can you sort in Reports in OBIEE 11g?
596,How we can do different types of narrative Reports in OBIEE?
597,How will you create Interactive Dashboards ?
598,What is write-back in obiee ?
599,How will you execute Direct SQL in OBIEE?
600,How OBIEE Developer can create report from two subject areas?
601,What are the different types of variables in OBIEE 11g? explain
602,"How we can Port changes for dashboards, reports, rpd from development to production?"
603,How will you enable or disable caching in the system level and table level?
604,How will you go about adding additional column to the repository in the presentation layer?
605,"How will effect the changes for a report, if for certain users only the column heading in the report should be changed?"
606,What is a table alias in OBIEE 11g? Where and how will you create it?
607,Have you created Hierarchy in OBIEE 11g. if so where and how?
608,What is Level Based Metrics? How we can create it?
609,What are the different layers of OBIEE 11g Repository?
610,What is Authentication? How many types of authentication.
611,What is a bridge table ?
612,How Time based triggered report can be generated?
613,What is ibot?
614,What are different types of joins that are possible in OBIEE RPD?
615,How we can have two different columns from two different tables or subject areas?
616,How can we use saved filters and where we will save the filters?
617,Have you worked in dashboard? when we run a dashboard? how will we stop the dashboard report run automatically?
618,Define surrogate key.
619,Define repository in terms of Siebel Analytics.
620,Explain the end to end life cycle of Siebel Analytics?
621,How does Siebel Architecture works? Explain the three layers.
622,If we have 3 facts and 4 dimension and we need to join would you recommend joining fact with fact? If no than what is the option?
623,What is connection pool and how many connection pools did we have in our last project?
624,Define JDK and why do we need it?
625,"Oracle doesn’t recommend Opaque Views because of performance considerations, so why/when do we use them?"
626,Can we migrate the presentation layer to a different server.
627,How we can identify the dimension tables and how we can decide them during the Business/Data modeling?
628,Why do we have multiple LTS in BMM layer? What is the purpose?
629,What is the full form of rpd?
630,How we can disable cache for only 2 particular tables?
631,How we can split a table in the rpd given the condition. ( the condition given was Broker and customer in the same table) Split Broker and customer.
632,What type of protocol did we use in SAS?
633,Can we have multiple data sources in Siebel Analytics?
634,How we can deal with case statement and expressions in siebel analytics?
635,What do you know about Initialization Blocks?
636,Explain query repository tool?
637,How can you bypass siebel analytics server security ?
638,Where we can add new groups and set permissions? Explain what is R?
639,What are the things we can do in the BMM layer?
640,Where are passwords for userid?
641,Define pipeline.
642,What are the Key Configuration Files in OBIEE?
643,Give a brief introduction of OBIEE?
644,What Is the Oracle BI Presentation Catalog?
645,What is OBIEE 11G?
646,Explain the main features of OBIEE 11G?
647,Explain Oracle Business Intelligence Applications?
648,Define repository in terms of OBIEE?
649,What is the end to end life cycle of OBIEE?
650,What is the purpose of Alias Tables?
651,What is Authentication? How many types of authentication do we have in OBIEE?
652,What is aggregate navigation? How do you configure the Aggregate tables in OBIEE?
653,Difference between a session and repo variable?
654,What kind of sources can be connected to OBIEE?
655,Compare Pentaho & Tableau
656,Define Pentaho and its usage.
657,Explain the important features of Pentaho.
658,Name major applications comprising Pentaho BI Project.
659,What is the importance of metadata in Pentaho?
660,Define Pentaho Reporting Evaluation.
661,Explain the benefits of Data Integration.
662,What is MDX and its usage?
663,Define three major types of Data Integration Jobs.
664,Illustrate the difference between transformations and jobs.
665,How to perform database join with PDI (Pentaho Data Integration)?
666,Explain how to sequentialize transformations?
667,Explain Pentaho Reporting Evaluation.
668,Can fieldnames in a row duplicated in Pentaho?
669,Does transformation allow filed duplication?
670,How to use database connections from repository?
671,Explain in brief the concept Pentaho Dashboard.
672,How to use logic from one transformation/job in other process?
673,Explain the use of Pentaho reporting.
674,What is Pentaho Data Mining?
675,Is Data Integration and ETL Programming same?
676,Explain Hierarchy Flattening.
677,Give a brief about PDI architecture.
678,Explain Pentaho report Designer (PRD).
679,Define Pentaho Report types.
680,What are variables and arguments in transformations?
681,How to configure JNDI for Pentaho DI Server?
682,What is MSBI? What are the tools that MSBI comprises?
683,How is SSIS related to SQL Server?
684,What are the tools associated with SSIS?
685,What is a workflow? What do you mean by a control flow and a data flow? 
686,Mention the errors in SSIS and explain how error handling works. 
687,Define environmental variables in SSIS.
688,What are different lookup cache modes available in SSIS? 
689,Explain the architecture of SSIS.
690,How can we do logging in SSIS? 
691,How do you deploy SSIS packages?
692,How can we organize SSIS packages on production?
693,Define query parameters in SSRS.
694,What are variables? Define the variable scope.
695,Define SSRS and also talk about the SSRS architecture. 
696,Explain the Reporting Life Cycle in SSRS. 
697,When shall we use a null data-driven subscription? 
698,What do you mean by matrix in SSRS? What are sub-reports and how do we create them? 
699,Define Report Model Project. 
700,What do you mean by Report Server Project?
701,Define RS.exe Utility.
702,What are the three different parts of RDL files? 
703,What are the different data sources used in SSRS? 
704,Differentiate between Tabular and Matrix Reports. 
705,How to send SSRS Reports from SSIS? 
706,What is SSAS? List out its key features.
707,What is the significance of UDM in SSAS? 
708,What is the architecture of SSAS? 
709,What languages are used in SSAS?
710,How are cubes implemented in SSAS? 
711,What is writeback? What are its preconditions? 
712,Compare QlikView with Tableau.
713,What chart types do we use in QlikView Admin?
714,Explain Set Analysis in QlikView.
715,Define Trellis chart.
716,Explain Mini chart. What do you mean by sub-reports and how can you create them?
717,What is a Pivot table?
718,Which graph can you use for 2 years' difference sales?
719,What is a Straight table?
720,How many dimensions can you use in a Bar chart?
721,Which QlikView object has only expression and no dimension?
